구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1524,2019-08-17,2019-08-31,"중학교,유치원,교원,고등학교,초등학교",대구  어울아트센터  미디어 세상에서 미술로 놀기  결과발표전,어울아트센터 갤러리 금호,대구 북구 구암로 47
1525,2019-08-17,2019-08-30,"초등학교,유치원",부산  낙동강하구에코센터  갯벌에는 어떤 생물이 살까  8/31(토),"낙동강하구에코센터 1층 교육실, 을숙도 갯벌",부산 사하구 낙동남로 1240
1526,2019-08-17,2019-08-22,"교원,고등학교,중학교",서울 서대문자연사박물관  9월 과학 강연 현장생물학자는 무엇을 보고 어떻게 기록할까,박물관 1층 시청각실,서울시 서대문구 연희로32길 51
1527,2019-08-17,2019-08-17,"고등학교,초등학교,중학교",울산  울산중구청소년문화의집  2019 중구 청소년어울림마당 발악콘서트  여름이니까,울산중구청소년문화의집,울산 중구 성남동190-45
1528,2019-08-16,2019-11-30,초등학교,"서울  구립서초유스센터  마술로 배우는 수학,과학",구립서초유스센터,서울시 서초구 반포대로 57
1529,2019-08-16,2019-12-15,"교원,중학교,유치원,고등학교,초등학교",충북 철박물관  2019 BLACKSMITH  LEE BYOUNG HOON 특별전,특별전시실,충북 음성군 감곡면 영산로 360
1530,2019-08-16,2019-11-30,"초등학교,유치원",서울  구립서초유스센터  예스셈주산식 암산수학,구립서초유스센터,서울시 서초구 반포대로 57
1531,2019-08-16,2019-11-30,초등학교,서울  구립서초유스센터  건강취미 프로그램,구립서초유스센터,서울시 서초구 반포대로 57
1532,2019-08-16,2019-11-30,유치원,서울  구립서초유스센터  짐짐펀Gym Gym Fun,구립서초유스센터,서울시 서초구 반포대로 57
1533,2019-08-16,2019-11-30,"고등학교,초등학교,중학교",서울  구립서초유스센터  청소년 자세교정 필라테스,구립서초유스센터,서울 서초구반포대로 57
1534,2019-08-16,2019-11-30,"중학교,고등학교,초등학교",서울  구립서초유스센터  소수정예 음악 프로그램,구립서초유스센터,서울 서초구 반포대로 57
1535,2019-08-16,2019-09-21,"고등학교,초등학교,교원,중학교,유치원",대구  대구문화예술회관  권정호 회고전,대구문화예술회관,대구광역시 달서구 공원순환로 201
1536,2019-08-16,2019-09-20,초등학교,서울  서울소방재난본부  소방안전 작품 공모전,서울소방재난본부,서울특별시 중구 퇴계로 26길 52
1537,2019-08-16,2019-09-18,"고등학교,초등학교,중학교",서울  송파도서관  도서관 속 서양미술 산책,송파도서관,서울 송파구 동남로 263
1538,2019-08-16,2019-09-07,"초등학교,중학교,유치원",경기  성남시청  부자녀 감성쑥쑥 도예 체험,성남시청,경기도 성남시 중원구 성남대로 997
1539,2019-08-16,2019-09-03,초등학교,서울  마포평생학습관  레오 리오니 함께 읽기,마포평생학습관,서울 마포구 홍익로2길 16
1540,2019-08-16,2019-08-24,"고등학교,초등학교,중학교","서울  동대문구청  여름의 오후, 감성의 재즈공연",동대문구청,서울 광진구 광장동313-3번지
1541,2019-08-16,2019-08-22,교원,대전  대전서구건강가정다문화가족지원센터  어떻게 놀아주면 좋을까 우리 아이 모빌 만들기,대전서구건강가정다문화가족지원센터,"대전광역시 서구 배재로 155-40, 우남관 103-1호 (도마동, 배재대학교)"
1542,2019-08-16,2019-08-20,유치원,인천  인천광역시청  하반기 어린이 시청 견학 안내(공감회의실),인천광역시청,인천광역시 남동구 정각로 29(구월동)
1543,2019-08-16,2019-08-18,"고등학교,초등학교,교원,중학교",대구  달서문화재단  재즈 인 대구,웃는얼굴아트센터 1층 청룡홀 및 야외무대,대구 달서구 문화회관길 160
1544,2019-08-16,2019-08-17,"고등학교,초등학교,중학교,유치원,교원",대전  국립중앙과학관  과학 버스킹 사이언스 매직쇼,국립중앙과학관,대전 유성구 대덕대로 481
1545,2019-08-15,2019-12-22,"교원,고등학교,초등학교,중학교,유치원",경북 국립등대박물관  항일운동과 등대의 역사 재조명,기획전시실,경북 포항시 남구 호미곶면 해맞이로150번길 20
