구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1,2021-11-01,2021-11-06,"고등학교,중학교",경기 수원시자원봉사센터  2021년 제1회 청소년 자원봉사 UCC 경진대회,수원시자원봉사센터,경기도 수원시 영통구 태장로39 수원시자원봉사센터 영통분소 2층
2,2021-09-18,2021-09-26,유치원,"온라인 국립중앙과학관  2021년 유아대상 과학문화공연 샌드아트 쓸까, 말까 플라스틱온라인 공연 안내","국립중앙과학관 유튜브 채널, 국립중앙과학관 네이버TV",대전광역시 유성구 대덕대로 481 (구성동32-2)
3,2021-09-18,2021-09-22,"일반,중학교,유치원,고등학교,초등학교",광주 국립광주과학관  2021 한가위 특별행사  추석에 뭐할까 과학관에서 놀자,국립광주과학관,광주광역시 북구 첨단과기로 235(오룡동 1-6번지)
4,2021-09-15,2022-01-31,"고등학교,초등학교,중학교,일반,교원",온라인 WHolly One Korea  북한이탈주민 어린이와 청소년을 위한 민주시민교육,"탈북민 대안학교, 지역아동센터, 방과후학교, 그룹홈 등",서울시 영등포구 버드나루로 50
5,2021-09-14,2021-09-17,"초등학교,중학교",온라인 국립과천과학관  2021년 가을학기 온라인 교육과정 안내,온라인,경기도 과천시 상하벌로 110
6,2021-09-13,2021-10-29,"초등학교,일반",온라인 국립고궁박물관  조선왕실의 건강비법등 7종 교육과정 접수,화상회의 플랫폼(구루미)을 통한 온라인 교육 실시,서울특별시 종로구 효자로 12(세종로1-57)
7,2021-09-13,2021-09-30,초등학교,온라인 창동인터넷중독예방상담센터  2021년 스마트폰 가족치유캠프 참가자 모집,온라인,서울 도봉구 노해로 69길 132
8,2021-09-13,2021-09-23,초등학교,온라인 시립성동청소년센터  9월AZIT로 떠나는 산책(BOOK) 버림받은 마녀편 ,온라인플랫폼 ZOOM,서울특별시 성동구 고산자로 260
9,2021-09-13,2021-09-23,"고등학교,중학교",온라인 시립 은평청소년미래진로센터  메타버스 스마트팜 교육 나는 스마트파머2 참가자 모집,메타버스 플랫폼 게더타운 (Gather Town),서울 은평구 통일로 684 서울혁신파크 공유동 3층 6층
10,2021-09-13,2021-09-16,"일반,초등학교,유치원",온라인 국립청주박물관  비대면 프로그램 복숭아 송편 만드소 체험 안내,국립청주박물관 문화사랑채,충청북도 청주시 상당구 명암로 143
11,2021-09-10,2021-09-11,초등학교,서울 시립수서청소년센터  녹색도시프로젝트  꽃길걸어요,시립수서청소년센터,서울특별시 강남구 광평로 144
12,2021-09-09,2021-09-27,"고등학교,초등학교,일반,중학교",전남 전라남도청소년미래재단  2021년 전라남도 청소년 가족 비대면 걷기대회 참가자 모집,전라남도 일대(참가자 거주 지역 어느 곳에서나 가능),전라남도 무안군 삼향읍 어진누리길 30 전남여성가족재단 4층
13,2021-09-08,2021-10-17,"고등학교,초등학교,일반,중학교,유치원",충북  2021 청주공예비엔날레,문화제조창 본관 및 청주시 일원,충북 청주시 청원구 상당로 314 (내덕2동 201-1)
14,2021-09-07,2021-09-22,"고등학교,일반,중학교",서울 시립서울청소년센터  영상촬영 및 편집 기획단 찾아가는 아이들 참가자 모집,시립서울청소년센터 및 지역사회 탐방,서울시 중구 을지로 11길 23
15,2021-09-06,2021-09-26,"고등학교,초등학교,일반,중학교,유치원","강릉 강릉아트센터  춤의정원 궁궐잔치의 꽃, 궁중춤을 만난다.",사임당홀,강원도 강릉시 종합운동장길 84(교동)
16,2021-09-04,2021-09-26,"중학교,유치원,고등학교,초등학교,일반",경북  2021 세계유산축전 안동,"하회마을, 병산서원, 도산서원",경상북도 안동시 도산면 도산서원길 154
17,2021-09-04,2021-09-09,"고등학교,초등학교,중학교,유치원",경남 밀양시청소년수련관  추석맞이 집쿡(cook) 페스티벌,온라인,경상남도 밀양시 삼문송림길 26 밀양시청소년수련관
18,2021-09-04,2021-09-08,"고등학교,초등학교,중학교","충남 보령시청소년문화의집  차로 배우는 예쁜 마음, 청소년다도",보령시청소년문화의집,충청남도 보령시 대천동 618-225
19,2021-09-03,2021-10-24,"고등학교,중학교",온라인 교보교육재단  제5회 책갈피 독서편지 쓰기 공모전,온라인,서울시 동대문구 왕산로 10 9층
20,2021-09-03,2021-09-22,"고등학교,초등학교,중학교,유치원,일반",온라인 서울 국립민속박물관  2021 추석맞이 한마당  한가위만 같아라 행사 안내,"국립민속박물관 본관 로비, 어린이박물관 로비, 파주관 로비, 온라인",서울시 종로구 삼청로 37
21,2021-09-03,2021-09-17,일반,온라인 서울특별시교육청  2021 학부모 온택트(Ontact) 진로콘서트 4회 신청 안내,서울특별시교육청 유튜브,서울특별시 종로구 송월길 48
22,2021-09-03,2021-09-08,"중학교,초등학교",제주 안덕청소년문화의집  언택트 건강댄스 줌바교실,온라인,제주특별자치도 서귀포시 안덕면 화순리 1298
23,2021-09-02,2021-12-23,"중학교,고등학교,초등학교",온라인 국립생태원  생태교육 교육강사와 함께하는 생태이야기 3탄 안내,비대면 Zoom 또는 네이버밴드라이브,충남 서천군 마서면 금강로 1210
24,2021-09-02,2021-09-30,중학교,전북 완주군청소년문화의집  흥미진진 마술트릭,완주군청소년문화의집,전라북도 완주군 봉동읍 낙평리 32-2
25,2021-09-01,2021-10-22,일반,울산  울산안전산업위크 (SAFETY WEEK),울산전시컨벤션센터(UECO) 전시장 B홀,울산광역시 울주군 삼남읍 울산역로 255
26,2021-09-01,2021-09-30,"중학교,고등학교,초등학교",전남 해남공공도서관  독서의 달 행사,해남공공도서관,전라남도 해남군 해남읍 서성1길 33
27,2021-09-01,2021-09-16,일반,경기  제13회 DMZ국제다큐멘터리영화제,고양 및 파주시 일대,경기도 고양시 일산동구 중앙로 1036 고양종합터미널 4층
28,2021-09-01,2021-09-12,"고등학교,초등학교,일반",온라인 국립대구과학관  추석맞이 비대면 놀이 체험 행사,온라인,대구광역시 달성군 유가읍 테크노대로 6길 20 (상리 917번지)
29,2021-08-31,2021-09-06,초등학교,부산 금정구평생학습관  하브루타 사고력질문의 발견,금정구평생학습관,부산광역시 금정구 작장2길 49
30,2021-08-31,2021-09-03,고등학교,울산 울주중부청소년수련관  청소년 자기관리 Onestop 아카데미 나를 위한 오늘,울주중부청소년수련관,울산광역시 울주군 구영로 101-20
31,2021-08-30,2021-12-31,"초등학교,유치원","온라인 우표박물관  찾아가는 우표박물관, 우표 교육 꾸러미 무료 신청",온라인,서울 중구 소공로 70
32,2021-08-30,2021-12-31,"중학교,고등학교,초등학교",서울 시립보라매청소년센터  보람 VR Master 참여 청소년 안내,시립보라매청소년센터,서울 동작구 여의대방로20길 61 시립보라매청소년센터
33,2021-08-30,2021-09-26,"고등학교,초등학교,일반,교원,중학교,유치원",충남 국립생태원  온라인으로 만나는 생태해설 프로그램탄소배출을 줄이는 생활 속 습관,에코리움,충남 서천군 마서면 금강로 1210
34,2021-08-30,2021-09-23,"유치원,초등학교",온라인 국립대구기상과학관  오늘은 내가 기상캐스터,온라인,대구광역시 동구 효동로 2길 10(효목동)
35,2021-08-30,2021-09-01,"고등학교,초등학교,중학교,유치원,일반,교원",부산 부산시농업기술센터  전통생활기술 교육 옻칠 나전공예 과정,부산시농업기술센터,부산광역시 강서구 체육공원로 43
36,2021-08-28,2021-09-10,"초등학교,중학교",서울 시립수서청소년센터  장애인식개선교육 및 비즈공예체험활동,시립수서청소년센터,서울특별시 강남구 광평로 144
37,2021-08-28,2021-08-28,"고등학교,초등학교,일반,중학교",서울 성북청소년센터  8월 Y.O.P.데이,시립성북청소년센터 내,서울시 성북구 한천로 660-9
38,2021-08-26,2021-09-03,초등학교,제주 서귀포기적의도서관  찾아가는 AI.SW 교육 지역교실알고리즘 프로그램,온라인 비대면(ZOOM),제주 서귀포시 일주동로8593
39,2021-08-25,2021-12-28,초등학교,서울 피규어뮤지엄더블유  알고 싶은 우리 역사 온라인 ,비대면,서울시 강남구 선릉로 158길 3
40,2021-08-25,2021-09-17,"고등학교,중학교,일반,교원",경남 진영한빛도서관  (독서의 달) 문지혁 작가와의 만남,진영한빛도서관 토론마을 1층 다목적홀,경상남도 김해시 진영읍 김해대로 440
41,2021-08-25,2021-08-31,유치원,경남 율하도서관  세계여행 그림책 놀이GOGO,율하도서관,경남 김해시 율하2로 210
42,2021-08-24,2022-03-06,"고등학교,초등학교,일반,교원,중학교,유치원",제주 이중섭박물관  이건희컬렉션 이중섭특별전  70년 만의 서귀포 귀향  개최,이중섭미술관(상설 기획전시실),제주특별자치도 서귀포시 이중섭로 27-3
43,2021-08-24,2021-09-14,초등학교,"온라인 송파책박물관  비밀의 서재, 할아버지의 책을 찾아라",실시간 원격강의,서울시 송파구 송파대로 37길 77
44,2021-08-24,2021-09-13,초등학교,온라인 송파책박물관  조선의 세책점으로 오세요(9월),줌(Zoom)을 활용한 실시간 온라인 교육,서울 송파구 송파대로 37길 77 송파책박물관
45,2021-08-24,2021-09-06,"고등학교,초등학교,중학교,유치원",경북 경산시 건강가정 다문화가족지원센터  중도입국자녀한국어_재미있어요 한국어,경산시 건강가정 다문화가족지원센터,경상북도 경산시 경산로 131
46,2021-08-24,2021-09-03,"고등학교,초등학교,중학교,유치원,일반,교원",서울 영등포구건강가정지원센터  에너지 절약 교육 에너지 토크,온라인(ZOOM),서울특별시 영등포구 영등포로84길 24-5 4층
47,2021-08-24,2021-09-02,초등학교,경남 김해청소년문화의집  언니야 만들기 하자 1기,온라인(ZOOM 실시간),경상남도 김해시 가락로 176번길 3
48,2021-08-23,2021-09-22,"중학교,유치원,일반,고등학교,초등학교",서울 국립국악원  추석공연 한가위만 같아라,국립국악원 예약당,서울특별시 서초구 남부순환로 2364
49,2021-08-23,2021-09-10,초등학교,부산 민주공원  꿈다락 토요문화학교 연극체험감상프로그램 토요일은 감상데이,민주공원,부산광역시 중구 민주공원길 19 민주공원
50,2021-08-23,2021-09-04,"고등학교,초등학교,중학교,일반,교원",대구 수창청춘맨숀  9월시민문화예술교육  동물원 코끼리우리 ,수창청춘맨숀,대구광역시 중구 달성로 22길 27
51,2021-08-23,2021-09-03,"초등학교,중학교",전북 익산예술의전당  2021년 기술입은 문화예술교육 AI원정대 참여자 모집,익산예술의전당 미술관 세미나실,전라북도 익산시 동서로 490
52,2021-08-23,2021-08-30,초등학교,인천 강화군청소년수련관  달나라 9호 참여자 모집,강화군청소년수련관,강화군 강화읍 강화대로 154
53,2021-08-23,2021-08-27,"중학교,유치원,일반,교원,고등학교,초등학교",충남 부춘산유아숲체험원  2021년 부춘산 가족 산림교육 체험 프로그램 참여자 모집,"부춘산, 부춘산유아숲체험원",충남 서산시 문화로 140
54,2021-08-19,2021-09-03,중학교,경기 흥선청소년문화의집  우리동네 하천지킴이,흥선청소년문화의집,경기도 의정부시 의정로 88번길 9
55,2021-08-18,2021-09-03,"고등학교,일반",서울 서울청소년센터  선거권 교육 봉사동아리 VERY굿봉사단,시립서울청소년센터,서울특별시 중구 을지로11길 23
56,2021-08-18,2021-08-25,"고등학교,중학교",서울 청소년미디어센터  2021 온라인 학과멘토링 토크콘서트 (중학생편) 참가자 모집,온라인 진행(ZOOM),서울특별시 용산구 한강대로 255
57,2021-08-17,2021-09-10,"고등학교,초등학교,중학교,일반",인천 부평구청소년수련관  슬기로운 제안생활,부평구청소년수련관,인천광역시 부평구 체육관로 76
58,2021-08-17,2021-09-07,초등학교,서울 중구진로직업체험지원센터  눈으로 보는 직업의 세계4차산업 기술분야편,중구진로직업체험지원센터,서울시 중구 다산로33길 3 신당누리센터 내 4층
59,2021-08-17,2021-09-03,초등학교,서울 성북청소년센터  9월 1인 크리에이티브 프로그램 참가자 모집,성북청소년센터,서울 성북구 한천로 660-9
60,2021-08-13,2021-09-19,초등학교,강원 강릉아트센터  어린이 예술감상교육 토요예술시식단 2차 접수,강릉아트센터,강원도 강릉시 종합운동장길 84
61,2021-08-11,2021-09-23,"고등학교,일반,중학교","서울 시립청소년드림센터  2021 하반기 바리스타, 쿠키, 목공 인턴십 참가 청소년 모집",서울시립청소년드림센터,서울특별시 강남구 봉은사로 114길 43
62,2021-08-11,2021-08-22,"일반,교원",서울 시립마포인터넷중독예방상담센터  8월 부모愛발견 집콕시대 이번주말 뭐하고 노세요,마포인터넷중독예방상담센터 집단상담실,서울시 마포구 월드컵로 212
63,2021-08-11,2021-08-18,"고등학교,초등학교,중학교",서울 시립화곡청소년센터  화곡 유니버스,온라인(네이버 밴드),서울시 강서구 곰달래로 57가길 26
64,2021-08-10,2021-08-26,"중학교,고등학교",강원 속초청소년문화의집  2021 속초시어울림마당 청소년 배틀그라운드 모바일 E스포츠대회 2,속초청소년문화의집,강원도 속초시 청호동 444-8
65,2021-08-10,2021-08-19,중학교,울산 남목청소년문화의집  청소년수련활동인증제 미래를 JOB아라 크리에이터,남목청소년문화의집,울산광역시 동구 서부동 449
66,2021-08-09,2021-10-01,"중학교,고등학교,초등학교",서울 시립창동청소년센터 제12회 K로봇대회with로빛,"시립창동청소년센터(14일,21일)/강북청소년센터 체육관(14일 미션형창작)",서울특별시 도봉구 노해로69길 132 시립창동청소년센터
67,2021-08-09,2021-08-27,"중학교,고등학교",경기 의정부시청소년수련관  청소년의 안전하고 건강한 메이크업 문화 조성 청소년의 미(美)완성,의정부시청소년수련관,경기도 의정부시 의정로 27
68,2021-08-09,2021-08-26,초등학교,서울 서울시립성동청소년센터  미래로운클래스 9월 코딩(메이키메이키 키트),서울시립성동청소년센터,서울특별시 성동구 행당동 7
69,2021-08-09,2021-08-18,"중학교,고등학교,초등학교","전남 전라남도청소년미래재단  같이가치나누기, 기부팔찌키트 전라남도청소년동아리연합회 연합활동",전라남도청소년미래재단,전라남도 무안군 삼향읍 어진누리길 30 전남여성가족재단 4층
70,2021-08-09,2021-08-13,"고등학교,초등학교,중학교,일반,교원",광주 광주광역시청소년활동진흥센터  아동청소년 참여예산제 당선작  우리가족리프레시 참가 모집,전라남도 여수,광주광역시 동구 수기동 5-4
71,2021-08-06,2021-09-30,초등학교,서울 서울YMCA  2021 하반기 청소년 영어스피킹클럽 멘티모집,서울YMCA 별관1층 프로그램실,서울 종로구 종로69 YMCA
72,2021-08-06,2021-08-13,초등학교,서울 동작진로직업체험지원센터  두드림마블 8월  반짝반짝 여름이야기  프로그램 모집,온라인 직업실무체험(ZOOM),서울특별시 동작구 상도로15바길 5
73,2021-08-04,2021-09-05,"중학교,유치원,고등학교,초등학교,일반",서울 푸른나무재단  제2회 푸코와 함께하는 사이버폭력 예방 아이디어 공모전 모집,푸른나무재단,서울특별시 서초구 서초대로 46길 88
74,2021-08-04,2021-08-26,초등학교,"서울 국립중앙박물관 어린이박물관  소망을 담은 그림, 평생도",어린이박물관,서울특별시 용산구 서빙고로 137
75,2021-08-04,2021-08-21,"초등학교,중학교",서울 서대문자연사박물관   온라인체험교실 곤충학자가 들려주는 곤충이야기,온라인 ZOOM,서울시 서대문구 연희로32길 51
76,2021-08-04,2021-08-18,"중학교,일반,교원,고등학교",세종 비오케이아트센터  비오케이 플라워클래스,비오케이아트센터,"세종특별자치시 국책연구원3로 12, 6층 601호"
77,2021-08-04,2021-08-16,"고등학교,초등학교,일반,교원,중학교",서울 시립보라매청소년센터  환경을 바꾸는 달리기   쓰담런 시즌1 ,시립보라매청소년센터,서울특별시 동작구 여의대방로20길 33
78,2021-08-04,2021-08-13,"고등학교,초등학교,중학교,일반,교원",울산 울산동구청소년문화의집  8월 동구청소년어울림마당 비상구,울산동구청소년문화의집,울산광역시 동구 봉수로 155
79,2021-08-04,2021-08-10,중학교,서울 아하서울시립청소년성문화센터  남자청소년 방학 온라인 특별 성교육,온라인 zoom 강의실,서울시 영등포구 영신로 200
80,2021-08-03,2021-08-19,"중학교,고등학교,일반",충북 금왕청소년문화의집  블루문의 밴드교실 음악 수업,금왕청소년문화의집,충북 음성군 금왕읍 금석로 74
81,2021-08-02,2021-08-19,"고등학교,초등학교,중학교",서울 사단법인 올 젠더와 법 연구소  제2회 성평등과 법 캠프  청소년을 위한 ESG 강좌,온라인 진행(Zoom),"서울 강남구 강남대로 308, 8층"
82,2021-08-02,2021-08-13,초등학교,충남 국립공주박물관  제13기 공주어린이박물관학교 참가자 모집,온라인,충청남도 공주시 관광단지길 34
83,2021-08-01,2021-12-31,"초등학교,중학교",서울 문화비축기지  생태 친환경 건축가 온라인 진로체험 프로그램,온라인,서울특별시 중구 서소문로 124 씨티스퀘어 8층
84,2021-07-28,2021-08-10,"고등학교,중학교",경기 정왕어울림청소년문화의집  마인크래프트로 온라인 창업하기  더씨이오  참가자모집,정왕어울림청소년문화의집,경기도 시흥시 정왕대로233번길 33 시흥어울림국민체육센터 3층
85,2021-07-28,2021-08-03,"중학교,고등학교,초등학교",경기 화성시청소년놀터  2021년 여름방학 취미공방 프로그램 참가자 모집,화성시청소년놀터,경기도 화성시 봉담읍 와우로24 도원프라자
86,2021-07-28,2021-08-03,"고등학교,초등학교,중학교",경남 마산청소년문화의집  제18회 청소년 비대면 미디어 영상캠프 지금 우리의 가슴이 뛴다,마산청소년문화의집,경상남도 창원시 마산합포구 청계동 12-9 공공건설사업단
87,2021-07-27,2021-08-07,"고등학교,중학교",충남 서산시청소년문화의집  청소년 사진작가 진로직업체험 셔터,서산시청소년문화의집,충청남도 서산시 해미면 읍내리 221-33
88,2021-07-27,2021-08-01,초등학교,부산 부산박물관  여름방학 어린이 박물관교실 불상 삼매경  개최 안내,부산박물관,부산광역시 남구 유엔평화로 63(대연동)
89,2021-07-26,2021-08-20,고등학교,충남 공주시청소년문화센터  커스텀에 반했소,공주시청소년문화센터,충남 공주시 대통1길 57
90,2021-07-24,2021-08-16,중학교,경남 진해청소년문화의집  청소년 스스로 안전 지킴이,진해청소년문화의집,경상남도 창원시 진해구 성내동 376
91,2021-07-23,2021-08-03,"고등학교,중학교",대구 동구청소년문화의집  2021년 청소년 여름방학 특강프로그램 슬기로운 방학생활,동구청소년문화의집,대구광역시 동구 안심로16길 51
92,2021-07-23,2021-07-31,"고등학교,초등학교,중학교",강원 동점마을아동센터  Drawing art,동점마을아동센터,강원도 태백시 동점동 71-4
93,2021-07-22,2021-08-29,"중학교,고등학교,초등학교",서울 안산도시자연공원  곤충은 내친구 어디어디 숨었나 ,안산도시자연공원,서울 서대문구 연희동 산 66-15
94,2021-07-22,2021-08-29,"중학교,고등학교,초등학교",서울 안산도시자연공원  봉수대에 올랐어라 ,안산도시자연공원,서울특별시 서대문구 연희동
95,2021-07-22,2021-07-28,"중학교,고등학교",서울 농어촌청소년육성재단  2021 농어촌청소년 생태전환교실 참가자 모집 안내,온라인 실시간교육(ZOOM),서울특별시 강남구 역삼동 831
96,2021-07-21,2021-08-02,초등학교,충북 금왕청소년문화의집  음성군청소년어울림마당 4차산업 메타캠프,금왕청소년문화의집,충북 음성군 금왕읍 금석로 74
97,2021-07-19,2021-08-01,"고등학교,초등학교,중학교",서울 강남구립못골도서관  수행평가가 무섭지 않은 발표자료 만들기,강남구립못골도서관,서울특별시 강남구 자곡로 116
98,2021-07-19,2021-07-30,초등학교,전북 진포문화예술원  2021년 청소년 어울림마당 우수청소년초청 군산시 청소년 전통문화예술제,진포문화예술원,전북 군산시 수송로 73
99,2021-07-13,2021-10-10,"일반,중학교,유치원,고등학교,초등학교","대구 국립대구박물관  실로 짠 그림 조선의 카펫, 모담 전시회",기획전시실Ⅰ,대구광역시 수성구 청호로 321
100,2021-07-13,2021-08-31,"중학교,고등학교",서울 송석복지재단  지속가능한 지구를 위한 실천 ON  혜화동 청소년모임 참가자 모집,온라인 ZOOM,서울특별시 종로구 혜화동 71-5
101,2021-07-13,2021-07-28,"중학교,고등학교",서울 망우청소년센터  유기동물보호봉사활동 애티켓,망우청소년센터,서울특별시 중랑구 망우동 241-2
102,2021-07-05,2021-11-30,"중학교,일반,고등학교,초등학교","강원 온라인 정동진시간박물관  틱톡틱톡, 시간 속의 인문학",온 오프라인,강원도 강릉시 강동면 헌화로 990-1 모래시계공원내
103,2021-07-02,2021-08-31,"고등학교,초등학교,일반,교원,중학교,유치원",서울 남산골 한옥마을  남산골 전통체험,남산골 한옥마을,서울시 중구 퇴계로34길 28
104,2021-07-01,2021-07-18,"중학교,고등학교,초등학교",서울 서울애니메이션센터  2021 여름 키즈툰애니틴스쿨 모집( 7/18),서울애니메이션센터,서울특별시 중구 소공로 48
105,2021-06-29,2021-11-14,"중학교,고등학교,일반","온라인 광주 광주시립미술관  전시 강용운, 나를 춤추다 특별기획전","광주시립미술관 유튜브 채널 / 광주시립미술관 본관 제3, 4 전시실",광주광역시 북구 하서로 52 (운암동)
106,2021-06-28,2021-07-25,"중학교,유치원,일반,교원,고등학교,초등학교",충남 국립생태원  온라인으로 만나는 생태해설 프로그램몬스테라 잎의 비밀,에코리움,충남 서천군 마서면 금강로 1210
107,2021-06-23,2021-08-06,"중학교,초등학교",서울 충무로영상센터 오재미동  청소년 VR 영화제작교실  상상을 현실로 ,충무로영상센터 오재미동,서울특별시 중구 퇴계로 지하 214
108,2021-06-22,2021-08-13,"초등학교,중학교",서울 은평문화재단  2021 기술 입은 문화예술교육  빛으로 만드는 나만의 무대  참여자 모집,은평문화재단,서울 은평구 녹번로 16 은평문화예술회관
109,2021-06-15,2021-07-08,"고등학교,초등학교,중학교,유치원,일반,교원",서울 서초구립반포도서관  도서관지혜학교  미학으로 이해하는 미술 ,온라인(zoom),서울시 서초구 고무래로 34
110,2021-06-12,2021-06-26,"초등학교,중학교",경기 토당청소년수련관   플라워 스쿨  신청 안내,토당청소년수련관,경기도 고양시 덕양구 중앙로 633번길 25
111,2021-06-12,2021-06-18,"일반,고등학교,초등학교,중학교",서울 시립광진청소년센터  2021년 나라사랑프로그램 내 마음 속 태극기,시립광진청소년센터,서울시 광진구 구천면로2
112,2021-06-10,2021-07-15,"일반,고등학교,중학교",서울 아시안프렌즈  다문화가족 청소년 뮤지컬 꿈,아시안프렌즈,서울특별시 성동구 고산자로 269
113,2021-06-09,2021-06-16,"일반,초등학교",경기 포천시청소년교육문화센터  2021년 6월 공예문화체험 프로그램 참가자 모집,포천시청소년교육문화센터,경기도 포천시 소흘읍 호국로523번길 59-56
114,2021-06-08,,"고등학교,초등학교,중학교",충남 천안시청소년수련관  2021재능키움아카데미 여름학기,천안시청소년수련관,충청남도 천안시 동남구 중앙로 111
115,2021-06-07,2021-06-18,"고등학교,중학교",전남 전라남도청소년수련원  청소년 목소리 기부활동 너들목 모집 안내,전라남도청소년수련원,전남 완도군 군외면 삼두1길 215
116,2021-06-04,2021-06-18,초등학교,경기 광정동청소년문화의집  꼼지락 에코리더 참가 기관 및 청소년 모집,광정동청소년문화의집,경기도 군포시 광정로 106 광정동주민센터 2층
117,2021-06-02,2021-07-10,초등학교,인천 부평구청소년수련관  오감오락 도예 목공 프로그램 참가자 모집,부평구청소년수련관,인천광역시 부평구 체육관로 76
118,2021-06-02,2021-06-12,"고등학교,초등학교,중학교,유치원,일반,교원",대전 대덕구청소년수련관  2021 대덕구청소년어울림마당 다(多)새로움 제 2회  너의 마음을 보여줘,대덕구청소년수련관,대전광역시 대덕구 중리동 101-1
119,2021-06-01,2021-08-30,"고등학교,초등학교,중학교,유치원",경기 동두천시보건소  비대면 청소년 건강식생활 교육 안내,신청 지역아동센터 내 교육,경기도 동두천시 중앙로 167
120,2021-06-01,2021-06-30,"초등학교,유치원",서울 전쟁기념관  제25회 전쟁기념관 현충일 온라인 그림그리기 대회,전쟁기념관,서울시 용산구 이태원로 29 전쟁기념관
121,2021-06-01,2021-06-14,"중학교,일반,고등학교,초등학교",인천 청소년활동진흥센터  제5회 인천광역시 청소년활동정보 미션한마당 캐릭터 공모전 신청안내,인천광역시청소년활동진흥센터,인천광역시 남동구 남동대로 769 3층
122,2021-06-01,2021-06-12,초등학교,울산 문수청소년문화의집  꿈이룸 금융놀이터,문수청소년문화의집,"울산광역시 남구 북부순환도로 45, 301호"
123,2021-06-01,2021-06-11,"중학교,초등학교",경남 영산청소년문화의집  31815 비밀의 신호를 찾아서,영산청소년문화의집,경남 창녕군 영산면 신영산로 12
124,2021-06-01,2021-06-07,"일반,고등학교,초등학교,중학교",세종 조치원청소년센터  청소년어울림마당 2회기  세.로.운 4차산업 체험마당 ,조치원청소년센터,세종특별자치시 조치원읍 침산리 226-1
125,2021-06-01,2021-06-06,"초등학교,유치원",경기 동탄목동이음터  온라인 마을학교솔방울 키움 학교 안내,동탄목동이음터,경기 화성시 동탄순환대로20길 6
126,2021-06-01,2021-06-04,초등학교,인천 부평구청소년수련관  퓨즈피아 6월 일일체험 참가자 모집,부평구청소년수련관,인천광역시 부평구 체육관로 76
127,2021-05-31,2021-07-11,"교원,초등학교","경기 경희대학교 혜정박물관  기리고차, 거리 재는 북 달린 마차 단체/개인 프로그램",온라인 비대면,경기도 용인시 기흥구 덕영대로 1732
128,2021-05-31,2021-06-13,"일반,교원,고등학교,초등학교,중학교",광주 국립광주과학관  6월 야간천체관측  밤하늘 관측대장,국립광주과학관,광주광역시 북구 첨단과기로 235
129,2021-05-31,2021-06-06,초등학교,서울 도봉기적의도서관  기적의 독서토론마따호쉐프 2기,도봉기적의도서관,서울 도봉구 마들로 797 1층
130,2021-05-28,2021-06-12,고등학교,인천 계양구청소년수련관  2021 청소년수련활동 인증프로그램 내 꿈을 프로듀스 참가자 모집,계양구청소년수련관,인천광역시 계양구 장제로 937
131,2021-05-26,2021-06-02,"중학교,고등학교",서울 서울예술교육센터  원데이 도구창작워크숍  요요는 왜 YoYo ,서울예술교육센터,서울시 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 공공시설동
132,2021-05-25,2021-06-10,"중학교,일반,고등학교,초등학교",대전 대전YWCA  2021 중구청소년어울림마당 와락 표현하樂(락) 참가안내,온라인(화상회의 시스템 ZOOM),대전 중구 대흥로 128
133,2021-05-24,2021-06-20,"초등학교,중학교","서울 홍릉 일대 도시재생현장지원센터  한글 글그림 공모전  홍릉, 그림으로 표현하다",홍릉 일대 도시재생현장지원센터,서울특별시 동대문구 홍릉로 118 수림문화재단 1층
134,2021-05-24,2021-05-28,"초등학교,교원",인천 인천도시역사관  비대면 교육프로그램 교실 밖 놀이터  근대 도시 인천에서 온 편지  ,인천도시역사관,인천광역시 연수구 인천타워대로 238
135,2021-05-22,2021-06-03,"고등학교,초등학교,중학교",경기 광교청소년수련관  행복한 놀이 궁것질 6월 놀이활동,광교청소년수련관,경기 수원시 영통구 도청로17번길 24
136,2021-05-20,2021-06-25,"중학교,초등학교",경기 영통청소년문화의집  메이커교육 창의과학연구소 참가자 모집,영통청소년문화의집,경기도 수원시 영통구 매영로 333
137,2021-05-20,2021-06-18,"중학교,유치원,고등학교,초등학교,일반,교원",서울 중구청소년센터  제1회 을지로아카이빙 SNS콘텐츠 공모전,중구청소년센터,서울시 중구 동호로5길 19
138,2021-05-18,2021-05-29,"고등학교,초등학교,중학교",경기 부천산울림청소년수련관  2021 부천시 청소년 문화예술 경연대회 참가자 모집,산울림청소년수련관,경기 부천시 역곡로 149-65
139,2021-05-18,,"고등학교,초등학교,중학교",서울 아리랑도서관  2단계 인문학 강좌  지구를 살리는 영화관  프로그램 안내,아리랑도서관,서울 성북구 아리랑로 82
140,2021-05-18,,"중학교,유치원,고등학교,초등학교,일반,교원",온라인 강남도서관  포스트 코로나 시대 진로독서,강남도서관,서울 강남구 선릉로116길 45
141,2021-05-17,2021-06-13,"중학교,고등학교,일반,교원",경북 경북도청  청렴경북 유튜브 영상 공모전,경상북도 감사관실,경상북도 안동시 풍천면 도청대로 455
142,2021-05-17,2021-06-03,고등학교,제주 제주문화예술재단  2021 한중일청소년문화예술캠프사업 문화외교관(참여자) 모집,제주문화예술재단,제주특별자치도 제주시 동광로51
143,2021-05-17,2021-05-28,"초등학교,일반,중학교",서울 광진구청  집콕 체험프로그램 체험단 모집,광진구청,서울특별시 광진구 자양로 117
